[2026-01-21 13:38:47] PING google.com SUCCESS
[2026-02-10 10:07:38] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:38] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:38] PING | facebook.com | SUCCESS
[2026-02-10 10:07:38] LATENCY | facebook.com | 9
[2026-02-10 10:07:38] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:38] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 8
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 5
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 8
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 9
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 10
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 8
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:39] PING | facebook.com | SUCCESS
[2026-02-10 10:07:39] LATENCY | facebook.com | 9
[2026-02-10 10:07:39] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:39] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 9
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 8
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 8
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 9
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 10
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 9
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:40] PING | facebook.com | SUCCESS
[2026-02-10 10:07:40] LATENCY | facebook.com | 9
[2026-02-10 10:07:40] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:40] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 8
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 8
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 9
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 8
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 6
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:07:41] PING | facebook.com | SUCCESS
[2026-02-10 10:07:41] LATENCY | facebook.com | 8
[2026-02-10 10:07:41] DNS | facebook.com | 157.240.208.35
[2026-02-10 10:07:41] PORT | facebook.com:80 | OPEN
[2026-02-10 10:09:12] PING | google.com | SUCCESS
[2026-02-10 10:09:12] LATENCY | google.com | 22
[2026-02-10 10:09:12] DNS | google.com | 142.251.10.100
[2026-02-10 10:09:12] PORT | google.com:80 | OPEN
[2026-02-10 10:09:15] PING | google.com | SUCCESS
[2026-02-10 10:09:15] LATENCY | google.com | 24
[2026-02-10 10:09:15] DNS | google.com | 142.251.10.100
[2026-02-10 10:09:15] PORT | google.com:80 | OPEN
[2026-02-10 10:09:20] PING | google.com | SUCCESS
[2026-02-10 10:09:21] LATENCY | google.com | 46
[2026-02-10 10:09:21] DNS | google.com | 142.251.10.100
[2026-02-10 10:09:21] PORT | google.com:80 | OPEN
[2026-02-10 10:09:32] PING | google.com | SUCCESS
[2026-02-10 10:09:32] LATENCY | google.com | 17
[2026-02-10 10:09:32] DNS | google.com | 142.251.10.100
[2026-02-10 10:09:32] PORT | google.com:80 | OPEN
[2026-02-10 10:09:46] PING | 192.168.1.1 | SUCCESS
[2026-02-10 10:09:46] LATENCY | 192.168.1.1 | 1
[2026-02-10 10:09:46] DNS | 192.168.1.1 | 192.168.1.1
[2026-02-10 10:09:50] PING | 192.168.1.1 | SUCCESS
[2026-02-10 10:09:50] LATENCY | 192.168.1.1 | 2
[2026-02-10 10:09:50] DNS | 192.168.1.1 | 192.168.1.1
[2026-02-10 10:09:56] PING | 192.168.1.1 | SUCCESS
[2026-02-10 10:09:56] LATENCY | 192.168.1.1 | 2
[2026-02-10 10:09:56] DNS | 192.168.1.1 | 192.168.1.1
[2026-02-10 10:10:01] PING | 192.168.1.1 | SUCCESS
[2026-02-10 10:10:01] LATENCY | 192.168.1.1 | 2
[2026-02-10 10:10:01] DNS | 192.168.1.1 | 192.168.1.1
[2026-02-10 10:13:40] PING | youtube.com | SUCCESS
[2026-02-10 10:13:40] LATENCY | youtube.com | 21
[2026-02-10 10:13:40] DNS | youtube.com | 74.125.68.91
[2026-02-10 10:13:44] PING | youtube.com | SUCCESS
[2026-02-10 10:13:44] LATENCY | youtube.com | 35
[2026-02-10 10:13:44] DNS | youtube.com | 74.125.68.91
[2026-02-10 10:13:50] PING | youtube.com | SUCCESS
[2026-02-10 10:13:50] LATENCY | youtube.com | 17
[2026-02-10 10:13:50] DNS | youtube.com | 74.125.68.91
[2026-02-10 10:13:59] PING | youtube.com | SUCCESS
[2026-02-10 10:13:59] LATENCY | youtube.com | 17
[2026-02-10 10:13:59] DNS | youtube.com | 74.125.68.91
[2026-02-10 10:14:01] PORT | youtube.com:22 | CLOSED
[2026-02-10 10:15:02] PING | africa-online.net | SUCCESS
[2026-02-10 10:15:03] DNS | africa-online.net | 41.190.93.198
[2026-02-10 10:15:05] PORT | africa-online.net:22 | CLOSED
[2026-02-10 10:15:12] PING | africa-online.net | FAILED
[2026-02-10 10:15:16] DNS | africa-online.net | 41.190.93.198
[2026-02-10 10:15:20] PING | africa-online.net | FAILED
[2026-02-10 10:15:24] DNS | africa-online.net | 41.190.93.198
[2026-02-10 10:15:33] PING | sa.gov.au | SUCCESS
[2026-02-10 10:15:33] LATENCY | sa.gov.au | 219
[2026-02-10 10:15:33] DNS | sa.gov.au | 43.245.43.96
[2026-02-10 10:15:41] PING | sa.gov.au | SUCCESS
[2026-02-10 10:15:41] LATENCY | sa.gov.au | 213
[2026-02-10 10:15:41] DNS | sa.gov.au | 43.245.43.96
[2026-02-10 10:15:47] PING | sa.gov.au | SUCCESS
[2026-02-10 10:15:47] LATENCY | sa.gov.au | 212
[2026-02-10 10:15:47] DNS | sa.gov.au | 43.245.43.96
[2026-02-10 10:16:03] PING | 10.255.255.1 | FAILED
[2026-02-10 10:16:07] DNS | 10.255.255.1 | 10.255.255.1
